[2001]missing,,9th/10th century,Ps. 1?-2?,"Ägyptisches Museum, P. ? (Blaß Nr. IV)",Berlin,Germany
2173,,6th/7th century,Ps. 91:1 fragm.,"MMA, Inv. 14.1.481",New York,United States
2174,,4th century,Ps. 92:1-5,"Luwr, MND 552 E, F",Paris,Francia
2175,,4th century,Ps. 146:1-147:1,"Luwr, MND 552 I and H",Paris,Francia
2176,,7th century,Ps. 28:1-29:7,"Vatican Library, Vat. gr. 2657",Vatican City,
2177,,4th century,Ps. 117:26-27 fragm.,"private collections of Fackelmann, P. A. Fackelmann 10",Vienna,Austria
2178,,4th/5th century,Ps. 118:22-40 fragm.,"private collections of Fackelmann, P. A. Fackelmann 11",Vienna,Austria
2179,,6th/7th century,Ps. 90:1–16 / quotes of NT,"ÖNB, P. Vindob. G 348",Vienna,Austria
2180,,6th century,Ps. 79:13-15; 80:11-13 fragm.,"ÖNB, P. Vindob. G 3115",Vienna,Austria
2181,,5th/6th century,Ps. 1:1-3,"ÖNB, P. Vindob. G 25949",Vienna,Austria
2182,,4th century,Ps. 77:48-52.61-66 fragm.,"ÖNB, P. Vindob. G 35781",Vienna,Austria
2183,,7th century,Ps. 31:1-3 fragm.,"ÖNB, P. Vindob. G 41050 Verso",Vienna,Austria
2184,,6th century,Od. 3:3-7 fragm.,"ÖNB, P. Vindob. G 40776 Verso",Vienna,Austria
2185,,6th/7th century,Od. 12:3-5,"Ägyptisches Museum, P. 17097",Berlin,Germany
2186,,4th? century,Od. 8:51-52 fragm.,"BSB, Gr. 610 Nr. 7",Munich,Germany
2187,,4th/5th century,Od. 8:57.59,"CSIC, P.Matr. bibl. 2",Madrid,Spain
2188,,7th/8th century,Od. 8:61-66 fragm.,"ÖNB, P. Vindob. K 503 (KO 503)",Vienna,Austria
2189,,7th century,Od. 8:77-88,"ÖNB, P. Vindob. G 37 Verso",Vienna,Austria
2190,,10th century,Od. 8:57-81,Baptistery,Kasr al-Wizz,
2191,,Byzantium,Ps. 103:1-6,"BL, EA 32884",London,U. Kingdom
2192,,Byzantium,Ps. 117:26-27,"BL, EA 32966",London,U. Kingdom
2193,,7th/8th century,Ps. 80:4; 117:19-20,"BL, EA 35123",London,U. Kingdom
2194,,7th? century,Od. 8:57-88,"Kopt. Mus., Ostr. 3151",Cairo,Egypt
2195,,6th/7th century,Od. 8:73-76.78 fragm.,"ÖNB, P. Vindob. G 29523",Vienna,Austria
2196,,6th century,Od. 8:52-56,"ÖNB, P. Vindob. G 19934, Fragm. Ia",Vienna,Austria
2197,,5th century,Ps. 50:17-20,"SCL, P. Duk. Inv. 661v",Durham,United States
2198,,3rd century,"Ps. 88:4-8,15-18","SCL, P. Duk. Inv. 740",Durham,United States
2199,,4th century,Ps. 90,"SCL, P. Duk. Inv. 778",Durham,United States
2200,,5th/6th century,Ps. 80:2.4,"IfP, P. Heid. Inv. G 1367 + 2259",Heidelberg,Germany
2201,,7th/8th century,Ps. 135:1-18.21-26,"IfP, P. Heid. Inv. G 2104",Heidelberg,Germany
2202,,VI<E>,Od. 4 (Hab 3):16-19; 5 (Is. 26):10-11.14-15,"IfP, P. Heid. Inv. G 2258 + 2748",Heidelberg,Germany
2203,,5th/6th century,Ps. 36:25-26 fragm.,"IfP, P. Heid. Inv. G 2260",Heidelberg,Germany
2204,,6th century,Ps. 118:169-176; 133,"YBR, P. CtYBR Inv. 488",New Haven,United States
2205,,6th/7th century,Ps. 148:6-9; 149:1-4 fragm.,"YBR, P. CtYBR Inv. 3082",New Haven,United States
2206,,5th/6th? century,Ps. 150:3-6 fragm.,"Col. Univ., P. Col. Inv. 97",New York,United States
2207,,before 650,Ps. 88:4-5 / quotes of NT,"MMA, Inv. 14.1.202",New York,United States
2208,,6th/7th century,Od. 8:88; 9:46-47.54-55,"Sin.-Tr. S. 369, Abb. 9",Sinai,Egypt
2209,,7th/8th century,Ps. 9:12–27 fragm.,"ÖNB, P. Vindob. G 1128",Vienna,Austria
2210,,6th/7th century,Ps. 1:3–4; 4:2 fragm.,"ÖNB, P. Vindob. G 3089",Vienna,Austria
2211,,6th/7th century,Ps. 40:3–6 fragm.,"ÖNB, P. Vindob. G 14289",Vienna,Austria
2212,,6th century,Ps. 23:1,"ÖNB, P. Vindob. G 17087",Vienna,Austria
2213,,7th century,Ps. 142:2–8.10-12 fragm.,"ÖNB, P. Vindob. G 17961",Vienna,Austria
2214,,6th/7th century,Ps. 9:38–10:3 fragm.,"ÖNB, P. Vindob. G 20541v",Vienna,Austria
2215,,5th/6th century,Ps. 24:15; 49:1.2 fragm.,"ÖNB, P. Vindob. G 29435",Vienna,Austria
2216,,7th/8th century,Ps. 96:1; 117:2 fragm.,"ÖNB, P. Vindob. G 35763",Vienna,Austria
2217,,6th/7th century,Ps. 53:3–9 fragm.,"ÖNB, P. Vindob. G 38624 + 41738",Vienna,Austria
2218,,4th/5th century,Ps. 43:21–24; 43:27-44:2 fragm.,"ÖNB, P. Vindob. G 39205",Vienna,Austria
2219,,7th/8th century,Od. 1:10.12.15.16.18; 5:9.10.12.14.15.17.18,"ÖNB, P. Vindob. G 40404",Vienna,Austria
2220,,5th/6th century,Od. 7:35–37.43-44 fragm.,"ÖNB, P. Vindob. G 41449",Vienna,Austria
2221,,8th century,Ps. 91:13,"ÖNB, P. Vindob. G 43283",Vienna,Austria
2222,,5th/6th century,Ps. 117:5-6.9; 22:1.3,"Ägyptisches Museum, P. 2791",Berlin,Germany
2223,,6th century,Ps. 17:36-38; 49:3-4.6-7,"Univ. Statale, T. Mil. Vogl. inv. 2 and 3",Milan,Italy
2224,,4th century,Ps. 12:3-5,"Univ. Statale, T. Mil. Vogl. inv. 5",Milan,Italy
2225,,6th century,Ps. 7:4-10 fragm.,"IfA, P.Colon. Inv. 1612",Cologne,Germany
2226,,4th/5th century,Ps. 30:3–4 fragm.,"ÖNB, P. Vindob. G 40580",Vienna,Austria
2227,P. Oxyrhynchus 5101,50 to 150 CE,Psalms 26:9-14; 44:4-8; 47:13-15; 48:6-21; 49:2-16; 63:6-64:5,"Sackler Library, 20 3B.36/J(4)B + 27 3B.38/N(1)B + 27 3B.41/J(1-2)c",Oxford,U. Kingdom
